Team Name,Goalspg,Shotspg,yellowcardpg,redcardpg,Posseion%,PassAcc,AerialsWonpg,Shotedpg,Tacklespg,Interceptionpg,Foulspg,Offsidepg,ShotsOTpg,Dribblespg,Fouledpg,Rank
Manchester City,2.184210526,15.8,1.210526316,0.0526315789,60.8,89.4,12.8,7.4,13.1,8.4,9.5,1.5,5.7,12.8,9.8,1
Manchester United,1.921052632,13.8,1.684210526,0.0263157895,54.5,84.8,14.5,11.3,14.5,10.2,11.9,2,5.6,10.9,10.5,2
Aston Villa,1.447368421,13.7,1.657894737,0.105263158,49.1,78.6,19.4,14.2,13.9,10.2,11.6,1.9,4.9,9.7,14.6,11
Chelsea,1.526315789,14.6,1.289473684,0.0789473684,58.6,87,15.2,8.8,16.1,10.1,11.4,2.1,5.5,9.4,9.6,4
Liverpool,1.789473684,16,1.052631579,0,59,85.7,14.3,8.7,13.8,9.1,10.4,1.7,5.6,10.7,8.3,3
Tottenham,1.789473684,11.7,1.394736842,0.0526315789,51.3,81.8,16.4,12.8,16.7,9,11.6,1.2,4.6,10.6,12.3,7
Leicester,1.789473684,12.8,1.605263158,0,53.2,82.1,16.2,9.7,17.9,11.5,10.9,1.9,4.9,9.4,11.1,5
Leeds,1.631578947,13.7,1.605263158,0.0263157895,55.1,80.8,14.5,14.7,19.5,10.4,11.4,2,5.2,8.4,10.8,9
West Ham,1.631578947,12.3,1.263157895,0.0789473684,44.5,77.8,19.9,12.2,13.5,11.5,9.9,1.9,4.3,7.8,9.3,6
Everton,1.236842105,10.5,1.552631579,0.0526315789,47.3,81.4,17.7,13.3,16.8,10.3,10.2,1.7,3.9,9.5,10.3,10
Arsenal,1.447368421,12.1,1.236842105,0.131578947,52.7,85,13.5,10.9,12,9.2,9.1,1.6,4,7.8,10.5,8
Wolverhampton Wanderers,0.947368421,12.2,1.394736842,0.0263157895,49.7,83.2,15.3,11.6,15.5,11.4,11.2,1,4.1,12.3,10.1,13
Brighton,1.052631579,12.8,1.184210526,0.157894737,50.7,81.3,14.2,9.4,16.5,11.2,11.3,1.4,3.8,9.2,9.4,16
Burnley,0.868421053,10.1,1.263157895,0,43.5,71.6,23.4,15,13.3,10.9,10.1,2.1,3.4,6.2,10.2,17
Fulham,0.710526316,11.6,1.763157895,0.0789473684,50,81.2,17.2,11.3,15.8,11.5,12.7,1.1,3.6,13.3,9.8,18
Southampton,1.236842105,11.2,1.368421053,0.0789473684,51.4,79.3,14.1,11.3,19.1,10.6,11.3,2,4.4,9,11.1,15
Newcastle United,1.210526316,10.4,1.605263158,0.0789473684,41.6,76,17.1,15.1,13.5,9.5,10.2,1.5,3.7,9.2,11.1,12
Crystal Palace,1.078947368,9.2,1.421052632,0.0526315789,42.9,76.1,18.3,14.2,16.8,10.4,10.8,1.8,3.5,9.6,11.5,14
West Bromwich Albion,0.921052632,8.9,1.342105263,0.105263158,41,72.2,19.1,15.8,15.3,11.4,10.6,2,2.9,6.9,10.8,19
Sheffield United,0.526315789,8.5,1.921052632,0.0789473684,43,76.9,19.1,14.3,16.7,9.2,12.1,1.9,2.6,7.1,7.7,20
Manchester City,2.684210526,19.6,1.578947368,0.105263158,62.6,89.3,13.6,7.4,13.5,9.3,9.5,1.8,7,12.8,7.8,2
